dept,course,instructor,abbrev_instructor,term,year,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,num_invited,num_responded
ANT,ANT338H1,T. Viola,Viola T,Fall,2016,3.8,3.6,3.8,3.1,3.3,2.8,4.4,3.5,30,21
ANT,ANT343H1,Prakruti Dave,Dave P,Fall,2016,4.8,4.7,4.7,4.2,4.2,4.3,4.7,4.1,55,27
ANT,ANT370H1,Kristin Bright,Bright K,Fall,2016,4.4,4.4,4.6,4.1,4.3,4.2,4.7,3.5,40,21
ANT,ANT374H1,Tania Li,Li T,Fall,2016,4.5,4.6,4.6,4.3,4.1,4.4,4.4,3.5,41,19
ANT,ANT378H1,Jesook Song,Song J,Fall,2016,3.6,3.9,3.9,4.1,4,3.7,3.8,2.9,24,8
ANT,ANT384H1,Krista Maxwell,Maxwell K,Fall,2016,4.5,4.8,4.1,4.1,4,4.2,4.3,3.9,15,10
ANT,ANT416H1,Edward Swenson,Swenson E,Fall,2016,4.3,4.7,4.7,4.5,4.5,4.4,4.7,3.8,23,12
ANT,ANT441H1,Kristin Bright,Bright K,Fall,2016,4.9,4.9,4.6,4.9,4.8,4.8,5,3.6,22,13
ANT,ANT452H1,Michael Levin,Levin M,Fall,2016,4.6,5,4.2,4.6,4.8,4.3,4.2,3.4,15,5
ANT,ANT458H1,Krista Maxwell,Maxwell K,Fall,2016,5,5,4.6,4.8,5,4.8,4.8,4,6,5
ANT,ANT476H1,Janice Boddy,Boddy J,Fall,2016,5,4.8,4.8,4.3,4,4.7,4.5,3.8,13,6
ANT,ANT481H1,Julia Gamble,Gamble J,Fall,2016,3.8,4.4,4.5,4.2,4.3,3.7,4.3,3.8,16,12
ANT,ANT484H1,Atreyee Majumder,Majumder A,Fall,2016,4.3,4.3,4.4,3.7,3.7,3.5,4.3,3.9,14,7
ARH,ARH305H1,Gary Coupland,Coupland G,Fall,2016,4.3,4.5,4.5,4.3,4.1,4.1,4.3,3.4,31,9
ARH,ARH309H1,Justin Jennings,Jennings J,Fall,2016,4.5,4.6,4.6,4.2,4.3,4.1,4.5,2.7,29,11
ANT,ANT100Y1,T Friesen,Friesen T,Winter,2017,3.5,4.1,3.6,3.1,3.1,3.5,3.8,2.2,49,10
ANT,ANT100Y1,Ivan Kalmar,Kalmar I,Winter,2017,3.5,4.1,3.8,3.1,3.1,3.5,4,2.2,49,10
ANT,ANT100Y1,Shawn Lehman,Lehman S,Winter,2017,3.5,4.1,3.8,3.1,3.1,3.5,4,2.2,49,10
ANT,ANT100Y1,T Friesen,Friesen T,Winter,2017,3.67,3.91,3.53,3.51,3.64,3.44,3.37,2.89,806,309
ANT,ANT100Y1,Ivan Kalmar,Kalmar I,Winter,2017,3.67,3.91,4.2,3.51,3.64,3.44,4.23,2.89,806,309
ANT,ANT100Y1,Shawn Lehman,Lehman S,Winter,2017,3.67,3.91,4.21,3.51,3.64,3.44,4.32,2.89,806,309
ANT,ANT200Y1,Anna Patton,Patton A,Winter,2017,3.9,4,4,3.9,3.8,3.6,3.7,3.3,124,45
ANT,ANT203Y1,T. Viola,Viola T,Winter,2017,3.8,3.7,3.2,3.1,2.9,2.9,3.5,3.3,137,55
ANT,ANT204H1,Kristin Bright,Bright K,Winter,2017,3.4,3.4,3.1,3.3,3.4,2.9,3.5,3.8,268,85
ANT,ANT253H1,Marcel Danesi,Danesi M,Winter,2017,3.6,3.73,3.85,3.53,3.62,3.42,4.35,2.77,447,107
ANT,ANT314H1,Gary Coupland,Coupland G,Winter,2017,3.9,4,4,3.9,3.9,3.3,4,2.9,24,8
ANT,ANT327H1,Bonnie McElhinny,McElhinny B,Winter,2017,4.2,4.4,3.9,3.8,4,3.4,3.8,3.9,35,11
ANT,ANT333Y1,Shawn Lehman,Lehman S,Winter,2017,4.3,4.4,4,3.8,3.7,3.8,4.7,3.3,27,16
ANT,ANT336H1,T. Viola,Viola T,Winter,2017,3.8,3.9,3.9,3.4,3.3,3.6,4.1,3.4,33,15
ANT,ANT341H1,Wen-Ching Sung,Sung W,Winter,2017,4.1,4.5,4.3,4.2,4.1,4.1,4.3,3.1,43,23
ANT,ANT345H1,Kristin Bright,Bright K,Winter,2017,4.1,4,4.1,3.9,3.6,3.9,4.4,4.1,58,16
ANT,ANT356H1,Gillian Gillison,Gillison G,Winter,2017,4,3.8,3,3.1,3.4,3.2,3.2,3,50,27
ANT,ANT371H1,Julia Gamble,Gamble J,Winter,2017,3.8,4,4.3,3.8,3.9,3.9,4.2,3,64,25
ANT,ANT380H1,Shiho Satsuka,Satsuka S,Winter,2017,4.6,4.7,4.3,4.4,4.3,4.4,4.6,3.9,16,11
ANT,ANT390H1,Atreyee Majumder,Majumder A,Winter,2017,5,4.6,4.8,4.6,4.6,4.6,4.2,3.6,10,5
ANT,ANT411H1,Edward Swenson,Swenson E,Winter,2017,4.3,4,3.8,3.7,3.8,3.6,4.3,4.6,17,12
ANT,ANT415Y1,T Friesen,Friesen T,Winter,2017,5,5,5,5,4.9,5,5,4.6,11,8
ANT,ANT420H1,Gary Coupland,Coupland G,Winter,2017,3.7,3.9,4,4.1,4.2,3.7,4,2.6,21,10
ANT,ANT427H1,Diane Riskedahl,Riskedahl D,Winter,2017,4.2,4.1,4.4,4.6,4.4,4,4.7,3.2,12,9
ANT,ANT434H1,Julia Gamble,Gamble J,Winter,2017,4.3,4.4,4.1,3.9,4,3.9,4.1,3.5,21,13
ANT,ANT435H1,Julia Gamble,Gamble J,Winter,2017,3.8,3.8,3.9,3.9,3.7,3.4,3.7,3.1,20,9
ANT,ANT438H1,Iulia Badescu,Badescu I,Winter,2017,3.9,4,4,3.8,3.7,3,4.3,3.2,22,12
ANT,ANT445H1,Shiho Satsuka,Satsuka S,Winter,2017,4.71,4.71,4.71,4.33,4.67,4.43,4.29,3.71,9,7
ANT,ANT462H1,Prakruti Dave,Dave P,Winter,2017,4.5,4.4,4.5,4.5,4.6,4.1,4.7,3.5,21,11
ANT,ANT474H1,Holly Wardlow,Wardlow H,Winter,2017,4.9,4.9,5,4.9,4.9,4.8,4.9,3.3,18,8
ANT,ANT475H1,Janice Boddy,Boddy J,Winter,2017,4.2,4.7,4.7,4.5,4.5,4.3,4,3.8,12,6
ANT,ANT480Y1,Anna Patton,Patton A,Winter,2017,4.7,4.8,4.7,4.4,4.4,4.9,4.8,3.8,11,9
ANT,ANT485H1,Mathew Gagne,Gagne M,Winter,2017,4.86,4.57,4.57,4.43,4.43,4.17,4.43,3.57,9,7
