dept,course,instructor,abbrev_instructor
ANT,ANT436H1,Shawn Lehman,"Lehman, S."
ANT,ANT456H1,Prakruti Dave,"Dave, P."
ANT,ANT458H1,Krista Maxwell,"Maxwell, K."
ANT,ANT200Y1,Michael Chazan,"Chazan, M."
ANT,ANT203Y1,T. Viola,"Viola, T."
ANT,ANT207H1,Tania Li,"Li, T."
ANT,ANT253H1,Marcel Danesi,"Danesi, M."
ANT,ANT318H1,Edward Swenson,"Swenson, E."
ANT,ANT320H1,Edward Swenson,"Swenson, E."
ANT,ANT329H1,Hy Luong,"Luong, H."
ANT,ANT334H1,Susan Pfeiffer,"Pfeiffer, S."
ANT,ANT335Y1,David Begun,"Begun, D."
ANT,ANT349H1,Jessika Tremblay,"Tremblay, J."
ANT,ANT358H1,Laura Sikstrom,"Sikstrom, L."
ANT,ANT374H1,James Stinson,"Stinson, J."
ANT,ANT380H1,Victor Barac,"Barac, V."
ANT,ANT430H1,Shawn Lehman,"Lehman, S."
ANT,ANT434H1,Julia Gamble,"Gamble, J."
ANT,ANT435H1,Julia Gamble,"Gamble, J."
ANT,ANT452H1,Michael Levin,"Levin, M."
ANT,ANT473H1,Tania Li,"Li, T."
ANT,ANT475H1,Janice Boddy,"Boddy, J."
ANT,ANT477H1,Jesook Song,"Song, J."
ANT,ANT486H1,Eugenia Kisin,"Kisin, E."
ARH,ARH305H1,Anna Patton,"Patton, A."
JAL,JAL355H1,Diane Riskedahl,"Riskedahl, D."
ANT,ANT200Y1,Michael Chazan,"Chazan, M."
ANT,ANT203Y1,Andrew Wade,"Wade, A."
ANT,ANT204H1,Prakruti Dave,"Dave, P."
ANT,ANT207H1,Janice Boddy,"Boddy, J."
ANT,ANT208H1,Daniel Sellen,"Sellen, D."
ANT,ANT315H1,T Friesen,"Friesen, T."
ANT,ANT322H1,Marcel Danesi,"Danesi, M."
ANT,ANT324H1,James Stinson,"Stinson, J."
ANT,ANT329H1,Hy Luong,"Luong, H."
ANT,ANT333Y1,Shawn Lehman,"Lehman, S."
ANT,ANT334H1,Susan Pfeiffer,"Pfeiffer, S."
ANT,ANT335Y1,David Begun,"Begun, D."
